n,p,q,degree,noise_sigma,itr,u_error,v_error,corr_error,freq_error,method
1000,100,100,5,0.5,1,0.0346005533249657,0.0317698139891942,0.000188013030098688,0.0144063581744995,GCCAprior1
1000,100,100,5,0.5,2,0.0342358718453769,0.0362744204162039,0.00957469960702312,0.00375817379102821,GCCAprior1
1000,100,100,5,0.5,3,0.171821374993165,0.0870731881900059,0.0433538957946898,0.421309900240198,GCCAprior1
1000,100,100,5,0.5,4,0.0687490361412803,0.0553695826968408,0.0161509140068689,0.007899991861964,GCCAprior1
1000,100,100,5,0.5,5,0.161341359840682,0.0878321631519465,-0.0200122701156674,0.0272463032131983,GCCAprior1
1000,100,100,5,0.5,6,0.0191041924710734,0.0133174827939003,-0.00406386219783911,0.0140820921655689,GCCAprior1
1000,100,100,5,0.5,7,0.172405641701018,0.117175081161056,0.0187429700389349,0.146052721976313,GCCAprior1
1000,100,100,5,0.5,8,0.183847289151351,0.0122767199304449,0.043837824089536,0.212097261590958,GCCAprior1
1000,100,100,5,0.5,9,0.0328135232180851,0.0794902269506065,0.0214961308779818,0.0318254332773715,GCCAprior1
1000,100,100,5,0.5,10,0.137421234615068,0.0566605623076665,0.0200000789931677,0.041426454423098,GCCAprior1
1000,100,100,5,0.5,11,0.0611234986066814,0.102819475539592,0.0289497259630295,0.141654667957576,GCCAprior1
1000,100,100,5,0.5,12,0.243838438934382,0.0741419628445732,0.0170787245177029,0.430424455453388,GCCAprior1
1000,100,100,5,0.5,13,0.0807185046333527,0.0748313259048657,0.0248225313598708,0.170868370269363,GCCAprior1
1000,100,100,5,0.5,14,0.26487259322941,0.115074754737099,-0.00168240543698428,0.257763130551091,GCCAprior1
1000,100,100,5,0.5,15,0.284685943444993,0.221305960644192,0.0870123563647897,0.151346664070657,GCCAprior1
1000,100,100,5,0.5,16,0.173280676458725,0.103934623932996,0.0291835340078043,0.435761248744771,GCCAprior1
1000,100,100,5,0.5,17,0.042585919831916,0.0445730813957719,0.00371568064324623,0.0260154373971635,GCCAprior1
1000,100,100,5,0.5,18,0.150699498671349,0.0663122862924912,0.0212393941507275,0.207852534491835,GCCAprior1
1000,100,100,5,0.5,19,0.201248984535215,0.099722478492943,-0.00340896197485602,0.177125519162915,GCCAprior1
1000,100,100,5,0.5,20,0.191647781787944,0.184993341270006,0.0794476514937835,0.251156653274923,GCCAprior1
1000,100,100,5,0.5,21,0.236940306168328,0.0044545140527934,0.0457831890271995,0.170624031680623,GCCAprior1
1000,100,100,5,0.5,22,0.204296733852329,0.0127960917784131,0.0396028388013419,0.744915416332824,GCCAprior1
1000,100,100,5,0.5,23,0.0795548507704423,0.0505728519522081,-0.0327424638547843,0.154886593998601,GCCAprior1
1000,100,100,5,0.5,24,0.156465583294417,0.0482768140203123,0.00696008265689663,0.340651194931516,GCCAprior1
1000,100,100,5,0.5,25,0.444336131559639,0.0942513429182913,0.104282707152055,3.68087915419998,GCCAprior1
1000,100,100,5,0.75,1,0.182711125463121,0.217179433612626,0.0364101008131623,0.228032261175292,GCCAprior1
1000,100,100,5,0.75,2,0.364982255793777,0.028825417280951,0.0598592897999212,1.01220533044804,GCCAprior1
1000,100,100,5,0.75,3,0.406066551062853,0.0542515853785772,0.0902048956974606,1.45294781902738,GCCAprior1
1000,100,100,5,0.75,4,0.318187003833034,0.155445097640587,0.0428962820426001,0.287564089694596,GCCAprior1
1000,100,100,5,0.75,5,0.336260104528688,0.118620396054785,0.102482281548305,1.2841955080738,GCCAprior1
1000,100,100,5,0.75,6,0.138242491365956,0.0686839734608631,0.00330179345972195,0.00600316542460099,GCCAprior1
1000,100,100,5,0.75,7,0.215362497504675,0.0137237768736234,0.0146834787762522,0.163248627657299,GCCAprior1
1000,100,100,5,0.75,8,0.148402671806351,0.0324103174718345,0.016633370570757,0.3495576543122,GCCAprior1
1000,100,100,5,0.75,9,0.211295942726077,0.0509286674840514,0.0197544130861671,0.0469040137493429,GCCAprior1
1000,100,100,5,0.75,10,0.409468967240403,0.100152698453434,0.0281943999682664,1.18595008536183,GCCAprior1
1000,100,100,5,0.75,11,0.221650619503145,0.247396994844669,0.0338895827229667,0.351496280209568,GCCAprior1
1000,100,100,5,0.75,12,0.164459375875272,0.193143910877989,0.0302429723741968,0.206685503118669,GCCAprior1
1000,100,100,5,0.75,13,0.749310479950527,0.215375839605368,0.2060644660135,0.937273981291287,GCCAprior1
1000,100,100,5,0.75,14,0.310753765454942,0.145274514648136,0.0830584642616876,0.377761023998228,GCCAprior1
1000,100,100,5,0.75,15,0.182737886190197,0.0345646262641851,0.029359692846481,0.0290050489039084,GCCAprior1
1000,100,100,5,0.75,16,0.180354695426874,0.019416155283299,0.014731896352161,0.042335554761766,GCCAprior1
1000,100,100,5,0.75,17,0.15485892908005,0.144158589727591,0.0296501317583406,0.311320209701864,GCCAprior1
1000,100,100,5,0.75,18,0.27790503413658,0.155776071673041,0.0891056528159422,1.34180470413218,GCCAprior1
1000,100,100,5,0.75,19,0.322836828610765,0.238765863615432,0.0829052866239101,0.439821728943592,GCCAprior1
1000,100,100,5,0.75,20,0.146898247137684,0.107400409731049,0.0485411963910115,0.0164133957963812,GCCAprior1
1000,100,100,5,0.75,21,0.173942659289168,0.113615936548914,0.0103624520614014,0.0568996646196778,GCCAprior1
1000,100,100,5,0.75,22,0.221504594253583,0.228132055168492,0.0442620712527197,0.0749267195468026,GCCAprior1
1000,100,100,5,0.75,23,0.251673575176971,0.0792136125816566,0.0209131226523821,0.252678607877623,GCCAprior1
1000,100,100,5,0.75,24,0.191429170135032,0.0464863431509533,0.0030424908251811,0.571805333734643,GCCAprior1
1000,100,100,5,0.75,25,0.101598282883414,0.0306218361122546,0.0168673404862724,0.223143688210476,GCCAprior1
1000,100,100,10,0.5,1,0.3246264638482,0.0624963550503487,0.063848731095026,0.551180000649842,GCCAprior1
1000,100,100,10,0.5,2,0.0764536095726434,0.0623649278614988,0.033490497908082,0.100292583426129,GCCAprior1
1000,100,100,10,0.5,3,0.3602924637193,0.026067133405586,0.0878788925113867,0.589638246100241,GCCAprior1
1000,100,100,10,0.5,4,0.274648840749404,0.0942484153677141,0.0430925649973969,0.624760752163332,GCCAprior1
1000,100,100,10,0.5,5,0.14671349489916,0.0140695300096014,0.0110755755447894,0.47752457508079,GCCAprior1
